file,section,title,date,slug,old_categories,old_tags,proposed_tags,needs_review
research/2023-06-07-kdd2023/index.md,research,End-to-End Inventory Prediction and Contract Allocation for Guaranteed Delivery Advertising,2023-06-07,kdd2023,"publication, publications, ML, Python",,"academia, machine-learning, python",
research/2025-06-04-print-demand-forecasting-with-machine-learning-at-hp-inc/index.md,research,Print Demand Forecasting with Machine Learning at HP Inc.,2025-06-04,print-demand-forecasting-with-machine-learning-at-hp-inc,"business, HP, publication, publications",,"academia, economics, forecasting",
research/2025-10-18-dissertation/index.md,research,From Data to Decisions: Enterprise Demand Forecasting with Machine Learning,2025-05-31,dissertation,"coding, HP, publication, publications, ML",,"academia, forecasting, machine-learning, tools",
research/2025-10-18-foresight-article/index.md,research,Enterprise-Scale Machine Learning for Demand Forecasting,2025-10-18,foresight-paper,"HP, forecasting, publication, ML",,"academia, forecasting, machine-learning",
talks/2017-11-23-introduction-to-latex/index.md,talks,Introduction to LaTeX,2017-11-23T10:00:00Z,introduction-to-latex,"latex, iim, workshop",,"academia, tools",
talks/2018-02-14-using-latex-for-resume-and-assignments/index.md,talks,Using LaTeX for Resume and Assignments,2018-02-14T19:00:00Z,using-latex-for-resume-and-assignments,"latex, business, workshop",,"academia, economics, tools",
talks/2020-05-31-demonstrating-shiny-apps/index.md,talks,Demonstrating Shiny Apps,2021-02-13T10:00:00Z,demonstrating-shiny-apps,R,,r,
talks/2022-01-14-iweb/index.md,talks,"I Web, Therefore I Exist",2022-01-14T12:00:00Z,iweb,"life, R, social, thoughts, workshop",,"academia, r",YES
talks/2022-03-22-personal-website-for-academics/index.md,talks,Personal Websites for Academics,2022-03-31T13:00:00Z,personal-websites-for-academics,"blog, workshop",,academia,YES
talks/2022-08-29-up-and-running-with-r-markdown/index.md,talks,Up and Running with R Markdown,2022-08-24T11:30:00Z,up-and-running-with-r-markdown,"R, coding",,"r, tools",
talks/2022-08-30-using-github-with-rstudio/index.md,talks,Using GitHub with RStudio,2022-08-24T11:30:00Z,using-github-with-rstudio,"R, coding",,"r, tools",
talks/2022-10-02-a-gentle-introduction-to-using-support-vector-machines-for-classification/index.md,talks,A Gentle Introduction to using Support Vector Machines for Classification,2022-10-02T11:30:00Z,svm,"coding, R, statistics",,"data-science, r, tools",
talks/2022-11-27-ck-cafe/index.md,talks,CK Cafe: Using Association Rules to Find Basket of Goods,2022-11-21T11:30:00Z,ck-cafe,"package, R, statistics, workshop",,"academia, data-science, r, tools",
talks/2023-08-05-kdd2023talk/index.md,talks,End-to-End Inventory Prediction and Contract Allocation for Guaranteed Delivery Advertising,2023-08-07T16:00:00Z,kdd2023talk,"ai, coding, Python, ML, publication",,"academia, ai, machine-learning, python, tools",
talks/2023-11-24-data-sciences-in-real-world/index.md,talks,Artificial Intelligence and Data Sciences in Real-world Business,2023-09-07T13:00:00Z,data-sciences-in-real-world,"ai, coding, HP, ML, statistics",,"ai, data-science, forecasting, machine-learning, tools",
talks/2023-11-24-why-academia/index.md,talks,Why Academia?,2023-11-16T03:00:00Z,why-academia,"india, publications, social, thoughts, life",,"academia, india",YES
